week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,5,64,3,3,0,0,54.8,50,41.7,1,4,7,0,0,0,1,1,-0.26158309699175,54.016666666666666
2,3,79,3,3,0,1,36,50,21.4,2,6,10,0,0,0,1,0,0.794000584955634,53.1
2,20,48,3,3,0,0,36,50,21.4,2,6,10,0,0,0,1,0,-0.0585770983847792,50.11666666666667
2,2,67,3,3,0,0,54.8,50,41.7,1,4,7,0,0,0,1,1,0.472197066894318,45.55
2,7,14,3,3,0,0,54.8,50,41.7,1,4,7,0,0,0,0,1,1.00785574839199,43.166666666666664
2,7,61,3,3,-3,0,36,50,21.4,2,6,10,0,0,1,0,0,-1.72941473062721,41.11666666666667
2,5,69,3,3,3,1,54.8,50,41.7,1,4,7,0,0,0,0,1,-0.191676579081876,37.56666666666667
2,11,51,3,3,3,0,54.8,50,41.7,1,4,7,1,0,0,0,1,-0.0573741632335268,35.03333333333333
2,14,54,3,2,-3,0,36,50,21.4,2,6,10,0,0,0,0,0,-0.479994843472248,32.416666666666664
2,10,50,3,3,1,1,36,50,21.4,2,6,10,0,0,1,0,0,-0.568137663229378,28.583333333333332
2,3,9,3,3,1,1,36,50,21.4,2,6,10,0,0,1,0,0,1.6763470029411,26.6
2,10,62,3,3,-8,0,54.8,50,41.7,1,4,7,0,0,1,0,1,0.513097016901976,23.7
2,18,85,3,3,8,0,36,50,21.4,2,6,10,0,0,0,1,0,-0.117329367357616,20.65
2,14,69,3,3,-8,0,54.8,50,41.7,1,4,7,0,0,0,1,1,-0.703910761854834,18.933333333333334
2,21,88,3,3,8,0,36,50,21.4,2,6,10,0,0,0,1,0,-0.30364476380659,17.9
2,4,4,3,3,-8,0,54.8,50,41.7,1,4,7,0,0,0,1,1,0.210391558285509,13.866666666666667
2,7,36,3,3,5,0,36,50,21.4,2,6,10,0,0,1,0,0,0.63763878953562,11.1
2,20,20,3,3,5,0,36,50,21.4,2,6,10,0,0,1,0,0,0.449942253316953,8.366666666666667
2,6,31,3,3,-8,1,54.8,50,41.7,1,4,7,0,0,1,0,1,0.717956298117232,5.7
2,10,14,3,3,-8,0,54.8,50,41.7,1,4,7,0,0,1,0,1,-1.67282473479249,4.783333333333333
2,6,66,3,2,8,1,36,50,21.4,2,6,10,0,0,0,0,0,-1.42924961388115,2.05
2,3,68,3,3,0,0,57.1,52,46.7,0,0,7,0,0,1,0,0,0.00182133140767765,59.18333333333333
2,2,55,3,3,0,1,37,55,8.3,1,1,7,1,0,0,1,1,-0.433059127692825,56
2,5,47,3,3,0,0,37,55,8.3,1,1,7,1,0,0,1,1,0.0519959221125506,53.96666666666667
2,2,40,3,3,0,1,57.1,52,46.7,0,0,7,1,0,0,0,0,-0.165257766426948,52.1
2,3,28,3,3,0,0,57.1,52,46.7,0,0,7,1,0,0,0,0,-0.831217545410607,50.516666666666666
2,9,9,3,3,0,0,57.1,52,46.7,0,0,7,0,0,0,0,0,-0.55434791646549,48.93333333333333
2,10,75,3,3,-3,0,37,55,8.3,1,1,7,0,0,1,0,1,-0.897242476535788,47.56666666666667
2,7,50,3,3,3,0,57.1,52,46.7,0,0,7,0,0,0,1,0,-0.750177457003323,44.88333333333333
2,9,84,3,3,-3,0,37,55,8.3,1,1,7,0,0,0,1,1,0.191338816441853,42.78333333333333
2,1,38,3,3,3,0,57.1,52,46.7,0,0,7,1,0,0,1,0,-0.679081488306484,40.81666666666667
2,4,8,2,3,3,0,57.1,52,46.7,0,0,7,0,0,0,1,0,-0.18736373209681,38.483333333333334
2,7,12,2,3,4,0,57.1,52,46.7,0,0,7,0,0,1,0,0,-0.235388277400848,34.516666666666666
2,2,44,3,2,-7,1,37,55,8.3,1,1,7,1,0,1,0,1,-1.27294278482496,32.266666666666666
2,4,16,2,1,-7,0,37,55,8.3,1,1,7,0,0,1,0,1,0.874509139166142,30.833333333333332
2,4,69,3,3,-4,1,37,55,8.3,1,1,7,0,0,1,0,1,-0.494888789873437,28.65
2,6,49,3,3,-3,0,57.1,52,46.7,0,0,7,0,0,1,0,0,-0.783514581209005,22.75
2,7,50,3,3,3,0,37,55,8.3,1,1,7,0,0,0,1,1,-0.535404659467999,18.316666666666666
2,10,75,3,3,-4,0,37,55,8.3,1,1,7,0,0,1,0,1,-0.765864720701648,13.25
2,4,60,3,3,4,0,57.1,52,46.7,0,0,7,1,0,0,1,0,-0.497992040430894,11.816666666666666
2,4,80,3,3,-4,0,37,55,8.3,1,1,7,0,0,0,1,1,0.624638425994149,9.683333333333334
2,8,63,3,3,4,1,57.1,52,46.7,0,0,7,0,0,0,1,0,0.0283875612073984,7.5
2,7,47,3,3,4,0,57.1,52,46.7,0,0,7,0,0,0,1,0,0.802955523051789,6.2
2,4,27,3,3,-4,1,37,55,8.3,1,1,7,0,0,0,1,1,-0.748271006809852,3.9166666666666665
2,4,4,3,3,-4,1,37,55,8.3,1,1,7,0,0,0,1,1,-1.27746614003158,2.4166666666666665
2,3,7,2,2,-3,0,57.1,52,46.7,0,0,7,0,0,1,0,0,0.515065531954691,0.35
2,10,75,2,2,0,0,57.1,52,46.7,0,0,7,0,0,1,0,0,-0.103128256393286,9.816666666666666
2,2,39,2,1,0,1,37,55,8.3,1,1,7,1,0,0,1,1,-0.13155800774454,7.516666666666667
2,2,67,3,3,0,1,52.2,52.9,40,1,0,7,0,0,1,0,0,-0.392411359635552,58.61666666666667
2,5,70,3,3,-7,0,35.7,30.8,30.8,3,0,6,0,0,1,0,1,-1.73459883502043,56.06666666666667
2,3,8,3,3,-7,0,35.7,30.8,30.8,3,0,6,0,0,0,0,1,1.65758778670328,50.86666666666667
2,5,64,3,3,0,0,52.2,52.9,40,1,0,7,0,0,1,0,0,1.96187554286851,48.483333333333334
2,6,80,3,3,0,1,35.7,30.8,30.8,3,0,6,0,0,0,1,1,0.240274780454297,46.96666666666667
2,3,37,3,3,0,1,35.7,30.8,30.8,3,0,6,1,0,0,1,1,0.265833833159979,43.7
2,11,76,3,3,-7,1,52.2,52.9,40,1,0,7,0,0,1,0,0,2.26027774800307,41.4
2,12,29,3,3,-7,0,52.2,52.9,40,1,0,7,0,0,1,0,0,0.0418447257257717,36.983333333333334
2,1,1,3,3,4,0,35.7,30.8,30.8,3,0,6,1,0,1,0,1,-3.6292286416529e-4,33.5
2,3,91,2,3,-4,0,52.2,52.9,40,1,0,7,0,0,0,0,0,1.42409951404504,32
2,8,55,3,2,4,1,35.7,30.8,30.8,3,0,6,0,0,0,1,1,1.17776863635456,31.016666666666666
2,2,31,3,3,11,1,35.7,30.8,30.8,3,0,6,0,0,1,0,1,0.0451913985870676,25.883333333333333
2,4,15,3,3,11,0,35.7,30.8,30.8,3,0,6,0,0,1,0,1,-0.760591371632934,24.35
2,3,3,3,3,11,0,35.7,30.8,30.8,3,0,6,0,0,1,0,1,-1.01241430497505,21.583333333333332
2,2,67,3,2,-18,1,52.2,52.9,40,1,0,7,0,0,1,0,0,0.838526190297826,19.683333333333334
2,2,40,2,3,18,1,35.7,30.8,30.8,3,0,6,0,0,0,0,1,0.767550828372215,18.033333333333335
2,22,25,1,3,18,0,35.7,30.8,30.8,3,0,6,1,0,0,0,1,-0.119747538374195,15.233333333333333
2,3,58,3,1,-21,0,52.2,52.9,40,1,0,7,0,0,1,0,0,-0.0634618784509459,12.95
