week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,0,8,8,12.45,2,3,14,66.7,56.2,38.5,1,0,7,0,0,1,1,1.0777178060812
2,0,12,12,8.36666666666667,2,3,17,66.7,56.2,38.5,1,0,7,0,0,0,1,0.0748312688117861
2,1,4,69,7.41666666666667,3,2,-20,57.1,62.5,23.1,4,3,6,0,1,0,0,-0.949673133841977
2,0,4,86,4.06666666666667,2,3,20,66.7,56.2,38.5,1,0,7,0,0,0,1,-0.176475199210571
2,1,5,53,3.2,3,2,-20,57.1,62.5,23.1,4,3,6,0,0,1,0,-0.301972477650337
2,0,10,63,46,3,3,0,50,47.1,0,1,4,7,1,1,0,0,-1.10583176376356
2,1,4,31,39.6833333333333,3,3,0,65.4,43.5,21.4,1,0,10,1,0,1,1,-0.265218278623784
2,0,10,27,37.7,3,3,0,50,47.1,0,1,4,7,1,0,0,0,0.200059949833235
2,0,3,43,31.85,2,3,-7,50,47.1,0,1,4,7,1,1,0,0,-0.534802380408733
2,0,5,89,30.8666666666667,3,2,7,65.4,43.5,21.4,1,0,10,1,0,1,1,0.37079407390233
2,1,3,11,26.1166666666667,3,3,0,65.4,43.5,21.4,1,0,10,1,1,0,1,1.11539913462633
2,1,1,59,22.1333333333333,3,3,-7,50,47.1,0,1,4,7,1,1,0,0,0.367459385660323
2,0,7,7,18.5,3,3,-7,50,47.1,0,1,4,7,1,1,0,0,0.302164474936273
2,1,2,55,15.5333333333333,3,3,4,65.4,43.5,21.4,1,0,10,1,1,0,1,1.40826255328279
2,0,35,97,1.96666666666667,2,3,3,50,47.1,0,1,4,7,1,1,0,0,1.50684582680808
2,0,3,20,0.05,1,2,-3,65.4,43.5,21.4,1,0,10,1,0,1,1,-1.1792687638942
2,0,8,25,47,2,2,-7,63.6,48.1,29.4,2,5,7,1,1,0,1,-0.423921835616482
2,0,6,9,43.5833333333333,2,2,4,64.3,47.6,23.1,1,0,7,1,1,0,0,1.27634565263335
2,0,9,45,37.1666666666667,2,2,0,64.3,47.6,23.1,1,0,7,1,1,0,0,-0.369284188458827
2,1,2,49,25.3833333333333,3,3,0,63.6,48.1,29.4,2,5,7,1,1,0,1,0.316957680791373
2,0,7,54,25.1666666666667,3,3,0,63.6,48.1,29.4,2,5,7,1,1,0,1,-0.912980689650218
2,0,7,79,23.95,3,3,0,64.3,47.6,23.1,1,0,7,1,0,1,0,0.971375283370153
2,0,7,39,16.4333333333333,3,3,0,64.3,47.6,23.1,1,0,7,1,0,0,0,-0.198388459550383
2,0,20,85,15.5333333333333,3,3,-3,63.6,48.1,29.4,2,5,7,1,1,0,1,1.20153388474643
2,1,2,55,10.3,3,3,-10,63.6,48.1,29.4,2,5,7,1,1,0,1,0.59418874903443
2,0,21,30,7.3,3,3,-10,63.6,48.1,29.4,2,5,7,1,1,0,1,0.068936616742964
2,0,2,67,5.63333333333333,2,3,7,64.3,47.6,23.1,1,0,7,1,1,0,0,-0.709044124072913
2,0,3,8,3.03333333333333,1,3,7,64.3,47.6,23.1,1,0,7,1,0,0,0,-0.0223730997879316
2,1,1,61,2.46666666666667,3,1,-10,63.6,48.1,29.4,2,5,7,1,1,0,1,-1.54990765858636
2,0,22,50,1.76666666666667,1,1,10,64.3,47.6,23.1,1,0,7,1,0,0,0,1.0848917013212
2,0,10,30,55.3666666666667,3,3,0,40,50,38.5,3,0,7,0,1,0,0,2.08918512380732
2,0,13,25,45.4666666666667,3,2,-7,40,50,38.5,3,0,7,0,1,0,0,-1.19736587317612
2,0,11,76,44.2,3,2,-11,40,50,38.5,3,0,7,0,1,0,0,0.46456190454653
